date,geo,title,event
2020,"Virtual, Germany",AI for Good,Beyond Festival
2019,"Berlin, Germany",Chancen-Hackathon,Innovationsbüro BMFSJ
2019,"Münster, Germany",Digitale Innovationen und Klimaanpassung in Städten,Konferenz Zukunftsstadt
2019,"Leipzig, Germany",Mehrwert für Bürger*innen durch Geodaten schaffen,FOSSGIS 2019
2018,"Milan, Italy",Alternative perspectives through artistic interpretations,State of the Map
2018,"Berlin, Germany",Ethics &amp; AI,Machine Intelligence Summit
2018,"Berlin, Germany","AI, ML and Design",Weißensee University
2018,"Berlin, Germany",Data Science &amp; Civil Services,Office for Statistics Berlin-Brandenburg
2018,"Berlin, Germany",Privacy &amp; ML,AI IN DATA SCIENCE
2018,"Berlin, Germany",Real-time data panel,11th RDA plenary
2018,"Munich, Germany",The future of digital cartography,PFGK 2018
2018,"Halle, Germany",Visualisation &amp; Trust in Online News,DGfK &amp; DGPF Halle
2018,"Berlin, Germany",Conversational UIs for Datavis,re:publica 2018
2018,"Dresden, Germany",The individual in space,DGfK Dresden
2017,"Taipei, Taiwan",Spatial Data Visualization,Taipei Tech
2017,"Berlin, Germany",Data visualisation for Journalists,re:publica 2017
2017,"Boston, USA",Machine Learning &amp; LBS,MIT Senseable City Lab
2017,"Leipzig, Germany",Data-driven psychogeography,Neogeographie Symposium
2017,"Berlin, Germany",Artificial Intelligence in my Pocket,World Usability Day
2016,"Quito, Ecuador",A human perspective on Human-Computer Interaction,Atlas Ambiental y aplicaciones GIS
2016,"Berlin, Germany",Visualizing Air Pollution,Data Vis Meetup
2016,"Bochum, Germany",Clustering in spatial Visualizations,DGfK Rheinland
2016,"Berlin, Germany",Novel Map Applications,GeoMonday
2016,"Quito, Ecuador",CityVis Awards,UN Press Conference
2015,"Potsdam, Germany",GeoVis: Beyond the Flatscreen,German Planetarium Conference
2015,"Potsdam, Germany",Knowledge Networks,GIS Day
2015,"London, UK",Science Communication,Tansley Workshop
2015,"Zurich, Switzerland",Visualization Literacy,Brown Bag Talks - UZH
2015,"Berlin, Germany",Maptime Berlin - Looking back,WhereCamp
2014,"Potsdam, Germany",GIS meets Design Education (New Applications for GIS),GIS Day
2014,"Lake Como, Italy",Visualization &amp; Science Communication,Future Economy
2014,"Hamburg, Germany",Qualitative Methods &amp; GIS,Geomatik
2014,"Boston, USA",DataVis at FH Potsdam,MIT Senseable City Lab
2013,"Berlin, Germany",Design Universities - FH Potsdam,Typo Conference
2013,"Hamburg, Germany",Paper Prototyping - A Tool for Early-Stage Evaluation of Software-Interfaces,DGfK - Young Geo Scientists Workshop
2013,"Berlin, Germany",Every Visualization tells a story,Visualized.io
2012,"Düsseldorf, Germany",The history of Webtypography,The Future of Typography
2012,"Bogota, Columbia",Beautiful and engaging visualizations with spatial data in risk related environments,XIB Congreso Colombiano de Geologia
2012,"Hildesheim, Germany",Innovation Diffusion Models,DGTF - Design Promoviert
2011,"Berlin, Germany",The future of News,Typo Conference
